Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nivel Educativo;Desempleada/o e inscrita/o como demandante de empleo en una ofic;Servicio demandado
abr-20;Mujer;Villaverde;Entre 36 y 45 años;ESO;Si;Orientacion,Intermediacion
abr-20;Hombre;Carabanchel;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);No;Intermediacion
abr-20;Mujer;Latina;Entre 46 y 55 años;FP Grado Superior;Si;Intermediacion
abr-20;Mujer;Arganzuela;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion
abr-20;Hombre;Latina;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Intermediacion
abr-20;Mujer;;Entre 36 y 45 años;FP Grado Superior;Si;Orientacion,Intermediacion
abr-20;Mujer;Chamberi;Entre 26 y 35 años;Estudios Postgrado;Si;Intermediacion
abr-20;Mujer;SanBlasCanillejas;Entre 46 y 55 años;Bachillerato;Si;Intermediacion
abr-20;Mujer;Villaverde;Entre 36 y 45 años;Graduado Escolar;No;Intermediacion,Autoempleo
abr-20;Hombre;;Entre 36 y 45 años;FP Grado Medio;Si;Autoempleo
abr-20;Hombre;Arganzuela;Entre 46 y 55 años;FP Grado Superior;Si;Intermediacion
abr-20;Hombre;;Entre 36 y 45 años;FP Grado Medio;No;Orientacion
abr-20;Hombre;Usera;Entre 46 y 55 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Mujer;Carabanchel;Entre 46 y 55 años;Bachillerato;Si;Orientacion,Autoempleo
abr-20;Hombre;Carabanchel;Entre 46 y 55 años;Graduado Escolar;Si;Orientacion,Autoempleo
abr-20;Mujer;Usera;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);Si;Orientacion,Intermediacion
abr-20;Mujer;Fuencarral;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);Si;Intermediacion
abr-20;Hombre;;Entre 26 y 35 años;Bachillerato;Si;Intermediacion
abr-20;Mujer;PuenteVallecas;Entre 56 y 65 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;MoncloaAravaca;Entre 26 y 35 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion
abr-20;Hombre;VillaVallecas;Entre 26 y 35 años;Graduado Escolar;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Hombre;VillaVallecas;Entre 26 y 35 años;Graduado Escolar;Si;Orientacion,Intermediacion,Autoempleo
abr-20;Mujer;Centro;Entre 26 y 35 años;Graduado Escolar;Si;Intermediacion
abr-20;Hombre;SanBlasCanillejas;Menor de 25 años;Bachillerato;Si;Autoempleo
abr-20;Hombre;;Entre 36 y 45 años;Estudios de Grado (Diplomado / Licenciado);No;Orientacion,Intermediacion
abr-20;Mujer;Usera;Entre 26 y 35 años;ESO;Si;Orientacion
